type,title,level,requirements,acc,speed,endurance,ilus,pic,logo
car,Cremrolet Posrando,standard,,1,3,2,minivan,01-cremrolet-posrando.jpg,cremrolet
car,Shitroën Moskvago,standard,,1,2,3,minivan,02-shitroen-moskvago.jpg,shitroen
car,Shitroën Sratchkus,standard,,2,3,2,cuv,03-shitroen-sratchkus.jpg,shitroen
car,Sracia Fluster,standard,,2,2,3,suv,04-sracia-fluster.jpg,sracia
car,Fiask Multiprdla,standard,,1,3,3,minivan,05-fiask-multipla.jpg,fiask
car,Frnd Mucus,standard,,1,3,2,cuv,06-frnd-mucus.jpg,frnd
car,Hnuyday IQ20,standard,,1,2,2,hatchback,06-hnuyday-iq20.jpg,hnuydai
car,Kakia Pee'd,standard,,2,3,2,hatchback,08-kakia-peed.jpg,kakia
car,Lama Chliva,standard,,1,1,5,sedan,09-lama-chliva.jpg,lama
car,Hnissan Meshqai,standard,,2,2,2,coupe,10-hnissan-meshqai.jpg,hnissan
car,Frnd Siesta,standard,,2,3,1,coupe,11-frnd-fiesta.jpg,frnd
car,Snopel Castrat,standard,,2,3,2,hatchback,12-snopel-castrat.jpg,snopel
car,Hlenault Blio,standard,,1,3,2,hatchback,13-hlenault-blio.jpg,hlenault
car,Hlenault Végane,standard,,2,3,3,sedan,14-hlenault-vegan.jpg,hlenault
car,Hownda Paccord,standard,,1,3,2,sedan,15-hownda-pacord.jpg,hownda
car,Pshouda Felacia,standard,,1,2,2,hatchback,16-pshouda-felacia.jpg,pshouda
car,Pshouda Coctavia,standard,,1,3,2,cuv,17-pshouda-ochcavia.jpg,pshouda
car,Pshouda Shitigo,standard,,1,2,1,micro,18-pshouda-shitigo.jpg,pshouda
car,Su-u’baru Depreza,standard,,2,2,3,cuv,19-suubaru-depreza.jpg,suubaru
car,Seppuki Vogon,standard,,1,2,1,micro,20-seppuki-vogon.jpg,seppuki
car,Yotoya Colorra,standard,,1,3,2,hatchback,21-yotoya-colorra.jpg,yotoya
car,Yotoya Yahryz,standard,,1,3,1,micro,22-yotoya-yahryz.jpg,yotoya
car,Koksladen Dolf,standard,,1,4,1,hatchback,23-koksladen-dolf.jpg,koksladen
car,Fiask Shunto,standard,,1,2,2,micro,24-fiask-shpunto.jpg,fiask
car,Beta Julietta,premium,,2,4,3,roadster,25-beta-julietta.jpg,betajulietta
car,Cremrolet Velkibu,premium,,2,4,3,cuv,26-cremrolet-velkibu.jpg,cremrolet
car,Shitroën Pichasso,premium,,2,3,3,minivan,27-shitroen-pichasso.jpg,shitroen
car,Frnd Mondieu,premium,,2,4,4,sedan,28-frnd-mondieu.jpg,frnd
car,Frnd Guma,premium,,3,5,1,supercar,29-frnd-puma.jpg,frnd
car,Hownda Chilli,premium,,2,4,2,cuv,30-hownda-chilli.jpg,hownda
car,Hnuyday Degenesis,premium,,2,4,2,coupe,31-hnuyday-degenesis.jpg,hnuydai
car,Cheep Bystrozrakee,premium,,2,4,5,pickup,32-cheep-cherokee.jpg,cheep
car,HangOver Freediver,premium,,2,4,5,pickup,33-hangover-freediver.jpg,hangover
car,Maxi Pooper,premium,,3,4,2,micro,34-maxi-pooper.jpg,maxipooper
car,Hnissan Almara,premium,,2,4,3,minivan,35-hnissan-almara.jpg,hnissan
car,Snopel Vergla,premium,,2,4,3,cuv,36-snopel-vergla.jpg,snopel
car,Deubgeot 90210,premium,,2,5,2,cuv,37-deubgeot-90210.jpg,deubgeot
car,Selhat Alzheimra,premium,,2,4,3,hatchback,38-selhat-alzeihmra.jpg,selhat
car,Pshouda Kadyaq,premium,,2,3,4,hatchback,39-psouda-kadyaq.jpg,pshouda
car,Su-u’baru Worchester,premium,,2,4,4,minivan,40-suubaru-worchester.jpg,suubaru
car,Koksladen Prassat,premium,,2,5,4,coupe,41-koksladen-prassat.jpg,koksladen
car,Vulvo Baloon,premium,,2,4,4,cuv,42-vulvo-balon.jpg,vulvo
car,Jauwi GG,deluxe,,4,5,2,supercar,43-jauwi-qq.jpg,jauwi
car,BTW Tourette,deluxe,,3,5,3,supercar,44-btw-tourette.jpg,btw
car,Fecalli Superfart,deluxe,,5,5,3,roadster,45-fecalli-superfart.jpg,fecalli
car,Plaguar Black-type,deluxe,,3,5,2,supercar,46-plaguar-r-type.jpg,plaguar
car,Bramborghini Titanquest,deluxe,,5,5,3,roadster,47-bramborghini-titanquest.jpg,bramborghini
car,Pshouda Superblb,deluxe,,4,5,3,supercar,48-psouda-superblb.jpg,pshouda
car,Mazdra Supremacy,deluxe,,3,5,3,sedan,49-mazdra-supremacy.jpg,mazdra
car,Remcedes-Rez,deluxe,,3,5,5,sedan,50-remcedez-rez.jpg,remcedez
car,Xciplimivtom Hitsumishi,deluxe,,3,5,4,supercar,51-xiplimiftom-hitsumishi.jpg,hitsumishi
car,Morsche Masturbo,deluxe,,5,5,3,supercar,52-morshe.jpg,morshe
car,Naserati Safraporte,deluxe,,4,5,3,supercar,53-naserati.jpg,naserati
car,Seppuki SeX4,deluxe,,4,5,3,supercar,54-seppuki.jpg,seppuki
mission,Dárek pro milenku,1000,,,,,,,
mission,Barva vyšlá z módy,1000,,,,,,,
mission,Odměna za vysvědčení,1000,,,,,,,
mission,Rekonstrukce zahrady,1000,,,,,,,
mission,Manželka se učí řídit,1000,,,,,,,
mission,Zadřený motor,1000,,,,,,,
mission,Načichlé potahy,1000,,,,,,,
mission,Krumpáč v kapotě,1000,,,,,,,
mission,Oprýskaný lak,1000,,,,,,,
mission,Svoz odpadu,1000,,,,,,,
mission,Taxi pro padělatele,2000,S,,,,,,
mission,Převoz kufříku,2000,S,,,,,,
mission,Usychající fíkus,2000,S,,,,,,
mission,Získej informátora,2000,P,,,,,,
mission,Uspokoj gamblera,2000,P,,,,,,
mission,Uklidni závisláka,2000,P,,,,,,
mission,Vybílení trafiky,2000,G,,,,,,
mission,Výpalné z DVD půjčovny,2000,G,,,,,,
mission,Holubi k večeři,2000,G,,,,,,
mission,Postraš zlobivce,2000,D,,,,,,
mission,Boss chce pizzu,3000,SS,,,,,,
mission,Policejní spiknutí,3000,PP,,,,,,
mission,Zásoby na párty,3000,GG,,,,,,
mission,Zlikviduj důkazy,3000,SP,,,,,,
mission,Lehké varování,3000,SG,,,,,,
mission,Falešné otisky,3000,PG,,,,,,
mission,Na šéfa se netroubí!,3000,SD,,,,,,
mission,Drzý policajt,3000,PD,,,,,,
mission,Pořádná blyštivá bouchačka,3000,GD,,,,,,
mission,Boss chce víc pizzy,4000,SSS,,,,,,
mission,Policejní gang,4000,PPP,,,,,,
mission,Zásoby na pořádnou párty,4000,GGG,,,,,,
mission,Ukradni důkazy,4000,SSP,,,,,,
mission,Eskort zabijáka,4000,SSG,,,,,,
mission,Nečekaná odplata,4000,SSD,,,,,,
mission,Zabavení střeliva,4000,PPG,,,,,,
mission,Potřebujem do novin,4000,PPD,,,,,,
mission,Pizza byla otrávena!,5000,SSSS,,,,,,
mission,Nejlepší honička,5000,PPPP,,,,,,
mission,Brutální přestřelka,5000,GGGG,,,,,,
mission,Vyřizování účtů,5000,SSPP,,,,,,
mission,Žhavé zboží,5000,SSGG,,,,,,
mission,Žhavé výstřely,5000,PPGG,,,,,,
mission,Poselství ze záhrobí,5000,SSDD,,,,,,
mission,Bankovní prácička,6000,SSPPG,,,,,,
mission,Vyčištění rajónu,6000,PPGGD,,,,,,
mission,Dej mu za vyučenou,6000,SSGGD,,,,,,
mission,Šéf byl uražen!,6000,SPGDD,,,,,,
mission,Šéf se zlobí!,6000,SPGDD,,,,,,
mission,Královský diamant,7000,SSPPGG,,,,,,
mission,Velká vlaková loupež,7000,SSPPDD,,,,,,
mission,Poklad velkého šéfa,7000,SSGGDD,,,,,,
mission,Šperky starostovy manželky,7000,PPGGDD,,,,,,
mission,Policejní trezor,7000,SPPPGD,,,,,,
pagebreak,,,,,,,,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Veselé Vánoce!,,Do svého rajónu před sebe vylož auto z vrchu balíčku a rovnou do něj nasedni (bez policajtů).,,,,christmas,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Propustka z vězení,,"Kartu ponech vyloženou. Pokud tě chytnou policajti, místo vězení pouze odhoď tuto kartu.",,,,outtajail,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Tajný sklad,,Získáváš plný počet zbraní.,,,,fullarm,,
pagebreak,,,,,,,,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Falešné papíry,,"Odstraň všechny policajty, kteří tě pronásledují.",,,,fakeid,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Propustka z vězení,,"Kartu ponech vyloženou. Pokud tě chytnou policajti, místo vězení pouze odhoď tuto kartu.",,,,outtajail,,
action,Skautuj,,Do svého rajónu před sebe vylož auto z vrchu balíčku.,,,,scout,,
action,Kraď!,,"Nasedni do jakéhokoliv volného auta. Podle vrchního auta z balíčku urči, kolik tě začne pronásledovat policajtů. U auta ze soupeřova rajónu přičti jednoho navíc.",,,,steal,,
action,Zbroj,,"Získáváš zbraň. Pokud tě nepronásledují žádní policajti, získáváš druhou navíc (max. 5).",,,,arm,,
action,Jeď!,,"V autě: Získáváš rychlost dle zrychlení. Poté můžeš bourat – hoď kostkami dle rychlosti. Za každé přehození odolnosti bouraného obdrží poškození, pokud neujede.",,,,go,,
action,Střílej!,,"Vyber auto. Za každou použitou zbraň obdrží poškození a ty policajta, pokud neujede.",,,,shoot,,
special,Tajný sklad,,Získáváš plný počet zbraní.,,,,fullarm,,
pagebreak,,,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
pagebreak,,,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,pistol,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,speed,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,police,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
token,,explosion,,,,,,,
